#PROTEIN	GENE ID
GP160	83732
GP160	3184
GP160	4176
GP160	476
GP160	9774
GP160	10970
GP160	8241
GP160	4282
GP160	10972
GP160	5688
GP160	3301
GP160	6737
GP160	10382
GP160	3689
GP160	5687
GP160	10956
GP160	6206
GP160	60
GP160	3848
GP160	10383
GP160	57532
GP160	3105
GP160	10927
GP160	506
GP160	3998
GP160	6632
GP160	1975
GP160	80321
GP160	203068
GP160	3309
GP160	8140
GP160	56886
GP160	6737
GP160	5589
GP160	3329
GP160	488
GP160	476
GP160	3949
GP160	10970
GP160	28577
GP160	59
GP160	4282
GP160	23753
GP160	2950
GP160	58
GP160	51726
GP160	498
GP160	10382
GP160	55681
GP160	10376
GP160	5315
GP160	203068
GP160	2597
GP160	10694
GP160	821
GP160	9545
GP160	916
GP160	2222
GP160	60
GP160	3326
GP160	6748
GP160	25923
GP160	1938
GP160	70
GP160	2771
GP160	7852
GP160	5052
GP160	5218
GP160	10383
GP160	6400
GP160	3309
GP160	23193
GP160	2923
GP160	3306
GP160	140465
GP160	2079
GP160	1072
GP160	10857
GP160	79084
GP160	5250
GP160	6520
GP160	10419
GP160	1503
GP160	1915
GP160	9524
GP160	3998
GP160	28639
GP160	54039
GP160	11329
GP160	6184
GP160	10956
GP160	72
GP160	3312
GP160	64746
GP160	5111
GP160	5955
GP160	81502
GP160	27248
GP160	56886
GP160	23012
GP160	8208
GP160	10376
GP160	2923
GP160	5685
GP160	3320
GP160	51726
GP160	11047
GP160	5315
GP160	821
GP160	79084
GP160	84188
GP160	6188
GP160	6128
GP160	5495
GP160	2079
GP160	5250
GP160	5631
GP160	23450
GP160	5635
GP160	5589
GP160	28577
GP160	6185
GP160	27248
GP160	6181
GP160	6175
GP160	4673
GP160	23753
GP160	498
GP160	9861
GP160	1650
GP160	2316
GP160	6421
GP160	6748
GP160	1975
GP160	10971
GP160	4122
GP160	8360;8368;8367;8361;8364;8294;8366;554313;8362;8363;8370;121504;8359;8365
GP160	23193
GP160	6189
GP160	10419
GP160	1915
GP160	55681
GP160	5690
GP160	28639
GP160	11329
GP160	6156
GP160	6184
GP160	3312
GP160	25777
GP160	23225
GP160	6636
GP160	3329
GP160	26227
GP160	5634
GP160	9967
GP160	5034
GP160	79001
GP160	2597
GP160	2222
GP160	6208
GP160	6222
GP160	7852
GP160	5052
GP160	3326
GP160	3306
GP160	140465
GP160	5709
GP160	823
GP160	9524
GP160	10927
GP160	3716
GP160	1642
GP160	506
GP160	6191
GP160	6388
GP160	488
GP160	552900;654483
GP160	54039
GP160	4176
GP160	6136
GP160	5717
GP160	5928
GP160	9774
GP160	10970
GP160	89941
GP160	8241
GP160	5688
GP160	6737
GP160	3301
GP160	10382
GP160	203068
GP160	3832
GP160	10456
GP160	478
GP160	6950
GP160	60
GP160	6400
GP160	1938
GP160	4522
GP160	3848
GP160	10383
GP160	57532
GP160	2280
GP160	6187
GP160	3683
GP160	92609
GP160	5682
GP160	10625
GP160	3998
GP160	6633
GP160	805;808;801
GP160	80321
GP160	5687
GP160	3309
GP160	29927
GP160	56886
GP160	3303;3304
GP160	5878
GP160	5096
GP160	8208
GP160	10376
GP160	5095
GP160	5686
GP160	913
GP160	5698
GP160	3185
