# This file contains a filtered version of the Human Interactome that includes
# only the yeast two-hybrd interactions ("Binary interactions").
# gene_ID_1	 gene_ID_2	data_source(s)
3183	5300	binary;literature;signaling
1837	23336	binary;literature
79760	79833	binary;literature;complexes
1032	79735	binary;literature
597	638	binary;literature
3717	5795	binary;literature
1031	7157	binary;literature;signaling
4914	5800	binary;literature
10241	6464	binary;literature;signaling
29888	503542	binary;literature
55872	55872	binary;literature
875	9513	binary;literature;signaling
55211	7431	binary;literature;signaling
22803	3692	binary;literature;signaling
6908	7157	binary;literature;signaling
29911	3983	binary;literature;signaling
56254	7317	binary;literature
472	79035	binary;literature;kinase
3960	57670	binary;literature
22866	23043	binary;literature
169792	51684	binary;literature
11340	26019	binary;literature;signaling
115265	6637	binary;literature
10084	1915	binary;literature;signaling
5335	9826	binary;literature
10018	596	binary;literature;signaling
23087	7323	binary;literature
10534	80125	binary;literature;signaling
359845	84988	binary;literature;signaling
25	51428	binary;literature
11170	23641	binary;literature;signaling
5764	79886	binary;literature;signaling
4281	7335	binary;literature
22891	54820	binary;literature
151636	7325	binary;literature
55660	91010	binary;literature
26258	55093	binary;literature;signaling
2039	53635	binary;literature;signaling
10018	581	binary;literature
23589	8614	binary;literature;signaling
1398	2213	binary;literature
11274	9636	binary;literature
1838	8495	binary;literature;signaling
6421	7314	binary;literature
11143	29993	binary;literature;signaling
142	54840	binary;literature;signaling
113878	56893	binary;literature;signaling
27125	6477	binary;literature;signaling
3866	84832	binary;literature;signaling
6136	63893	binary;literature
4287	9463	binary;literature;signaling
79571	85302	binary;literature;signaling
11258	6310	binary;literature;signaling
57473	58487	binary;literature
55159	7321	binary;literature
5770	7341	binary;literature
26088	9135	binary;literature;signaling
7321	9616	binary;literature
2316	5335	binary;literature
2534	2954	binary;literature
26994	54476	binary;literature;signaling
10606	9513	binary;literature;signaling
6310	9757	binary;literature;signaling
6613	78987	binary;literature;signaling
26999	8087	binary;literature
140432	54926	binary;literature
30008	896	binary;literature;signaling
10362	11007	binary;literature;signaling
5295	79723	binary;literature
115106	4998	binary;literature
207	8115	binary;literature;signaling
2335	7356	binary;literature;signaling
4087	55223	binary;literature;signaling
2885	7918	binary;literature
10989	22948	binary;literature;signaling
4690	7112	binary;literature
22927	8683	binary;literature
10284	10474	binary;literature;signaling
150472	1892	binary;literature
260425	7039	binary;literature;signaling
388646	57819	binary;literature
11145	29979	binary;literature;signaling
114928	55791	binary;literature;signaling
23506	57685	binary;literature
2130	8050	binary;literature;signaling
5062	998	binary;literature;signaling
222484	65264	binary;literature
151254	7431	binary;literature;signaling
55683	6233	binary;literature
1819	51389	binary;literature
7431	9124	binary;literature;signaling
10382	3978	binary;literature
1460	8099	binary;literature;signaling
1460	8930	binary;literature;signaling
2247	2263	binary;literature
1499	6932	binary;literature
10381	8874	binary;literature;signaling
3091	406	binary;literature;signaling
6118	9709	binary;literature;signaling
10301	60492	binary;literature
5054	56893	binary;literature;signaling
1080	9351	binary;literature;signaling
4690	81543	binary;literature
1107	79137	binary;literature;signaling
23764	5660	binary;literature;signaling
8878	9817	binary;literature
23360	55660	binary;literature;signaling
51225	9456	binary;literature;signaling
10006	653361	binary;literature
11030	84445	binary;literature;signaling
5587	5603	binary;literature
10444	6923	binary;literature
11161	7572	binary;literature;signaling
10207	8886	binary;literature;signaling
11007	9129	binary;literature;signaling
7334	9025	binary;literature
1031	10589	binary;literature;signaling
1454	1856	binary;literature;signaling
6092	93145	binary;literature;signaling
28964	55339	binary;literature;signaling
23099	408	binary;literature;signaling
56893	65117	binary;literature
3875	55212	binary;literature
64746	64750	binary;literature
3336	7088	binary;literature;signaling
55750	8723	binary;literature;signaling
10381	55023	binary;literature
2950	56902	binary;literature;signaling
55662	85302	binary;literature;signaling
10987	51316	binary;literature
6477	7336	binary;literature
1785	6453	binary;literature;signaling
1398	56139	binary;literature
221264	8682	binary;literature
10200	2512	binary;literature;signaling
2661	6303	binary;literature;signaling
4086	4853	binary;literature;signaling
6048	7321	binary;literature
3091	6759	binary;literature;signaling
257218	4026	binary;literature;signaling
4609	79753	binary;literature
2885	8763	binary;literature
11321	7507	binary;literature;signaling
55293	6047	binary;literature
2516	2534	binary;literature
5770	613	binary;literature;signaling
80817	9025	binary;literature;signaling
3183	8907	binary;literature;signaling
1936	1937	binary;literature;signaling
11083	1857	binary;literature
149473	27185	binary;literature
